timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.1996286,0.1219265,0.09131162,0.071850605,-0.021829491,0.0020044858,0.13525847,0.1731534,0.003413263,0.049875725,0.26158014,0.33171755,0.08781238,0.05332633,-0.041764498,-0.063626826,0.18865134,0.10790162,0.09408683,0.11763773,-0.028835276,0.045277543,0.0047771805,-0.04705967,-0.09006345,-0.13395782,-0.083863996,0.008956622,0.10810006,0.15478384,0.1042022,-0.01722625,0.09522003,0.11792887,-0.02100125,-0.14416082,0.062270988,0.10499981,0.03335571,0.064963296,0.012415127,0.021013716,0.14230768,0.09325973,0.07394221,0.098001346,0.12533407,0.04728272,0.059064955,0.07346809,0.009718904,0.10758923,-0.10984217,-0.28372854,0.032075047,0.027314605,0.19674823,0.20100234,0.39984122,0.28026864,0.22122891,0.042337067,0.13204849,0.0939535,-0.3116593,0.037972774,0.05925453,0.010171303,0.111574665,0.054098886,0.14048122,0.04999776,0.08135366,0.07986545,-0.06712811,0.16262564,0.08531195,0.068384975,0.20620148,0.16510314,0.11225384,0.09233831,0.023472413,-0.024987845,0.0011627186,0.08589117,-0.18864305,-0.15216996,0.09191137,0.038693283
1,0.14637946,0.08747538,0.04848567,0.03974317,-0.03895553,-0.007663512,0.10452512,0.17605717,-0.013225127,0.07705111,0.22329088,0.32668346,0.09401522,0.067445174,-0.04806215,-0.05421946,0.15213148,0.08892661,0.049931753,0.07844874,-0.019153068,0.04955804,-0.016147647,-0.031809583,-0.06349479,-0.122819945,-0.08440511,0.00930308,0.08272791,0.15119252,0.07074295,-0.023433814,0.07590911,0.11691968,0.0073340866,-0.11113289,0.065097645,0.091283,0.03476091,0.060740434,0.026002938,-0.021408545,0.16204564,0.076369084,0.09506228,0.10602792,0.13012563,0.057411138,0.046680063,0.06581162,0.041305598,0.115235046,-0.057391915,-0.30809772,0.061720185,0.051869445,0.14768982,0.16154757,0.4269407,0.33962747,0.21082534,0.05834988,0.10475479,0.06528588,-0.24398129,0.12011869,0.0758902,0.049120188,0.055280987,0.005774303,0.12299802,0.057691794,0.07239215,0.071850486,-0.09845577,0.1254526,0.07921854,0.057326492,0.17478955,0.16604987,0.116560094,0.072427444,0.003324116,-0.041274108,0.014530569,0.12034312,-0.19833297,-0.16235688,0.10541506,0.052095097
2,0.08220492,0.046428006,0.0031472242,0.0036963609,-0.04619345,-0.016749114,0.064122446,0.16591379,-0.023754401,0.1016067,0.1653111,0.29489988,0.09364646,0.08153149,-0.048194326,-0.03681414,0.09783816,0.06323462,0.0018214684,0.032481145,-0.010389176,0.041814726,-0.032417826,-0.014011369,-0.032196272,-0.10239144,-0.08031424,0.0044097924,0.05282426,0.13935183,0.031549793,-0.023633575,0.048410952,0.10774406,0.03715585,-0.0653303,0.05980756,0.07042869,0.033790197,0.047766045,0.03234162,-0.06762483,0.16872229,0.061338034,0.11230156,0.104322925,0.12440991,0.06521922,0.03595524,0.056257445,0.061655674,0.114574455,-0.004429881,-0.30626535,0.08380646,0.07381887,0.08677043,0.110554725,0.41149914,0.36521837,0.18394248,0.067931525,0.07634287,0.046637967,-0.16380672,0.1805686,0.08067186,0.08087557,-0.0063399286,-0.041129097,0.08967943,0.055810086,0.059340768,0.061386574,-0.11435187,0.081160985,0.068024985,0.042583797,0.12528713,0.14918105,0.11038179,0.048834685,-0.016484043,-0.05618674,0.024944415,0.14318207,-0.18907425,-0.15508293,0.11135573,0.061412696
3,0.012573452,0.0032591084,-0.040542398,-0.033189386,-0.042703487,-0.02541172,0.016885124,0.14157742,-0.026266301,0.117649265,0.09227341,0.24152504,0.08675263,0.09417081,-0.040491614,-0.012296355,0.030254496,0.032238998,-0.04735726,-0.015304289,-0.004329802,0.024736876,-0.042968243,0.004068125,0.0017540782,-0.0747383,-0.071419895,-0.004762784,0.020899463,0.11853169,-0.009134798,-0.019716844,0.015223527,0.08997838,0.06372076,-0.01445243,0.048596732,0.044330526,0.0322446,0.028845534,0.031875957,-0.10983155,0.15940201,0.047916606,0.119375005,0.091478646,0.107880965,0.06989456,0.025269454,0.04591289,0.06904496,0.10629276,0.043301634,-0.27788648,0.096049204,0.090767846,0.01943583,0.053091157,0.35153952,0.35128078,0.14153099,0.06831945,0.047755405,0.03786762,-0.07728281,0.21296279,0.07098468,0.09953373,-0.06621807,-0.08237538,0.044900417,0.043143027,0.042712156,0.04792717,-0.11282317,0.033903055,0.05252824,0.025464673,0.060464434,0.11439561,0.09063592,0.02315774,-0.03217301,-0.06679933,0.031385597,0.1507896,-0.16085117,-0.12981302,0.109733954,0.066508844
4,-0.056574177,-0.037548974,-0.07888686,-0.06746858,-0.029409181,-0.033648904,-0.033503503,0.10360482,-0.02008388,0.12045734,0.01037968,0.17393441,0.07374633,0.10379544,-0.02438877,0.017507633,-0.044708528,-0.002750473,-0.09457465,-0.060050678,-0.0024967804,0.0018033463,-0.04765818,0.020170223,0.03604995,-0.042437304,-0.058160175,-0.016356625,-0.010694113,0.088595875,-0.047099218,-0.014187282,-0.020639066,0.06404795,0.08257302,0.033488445,0.03400701,0.015431083,0.03174344,0.0076792887,0.02569829,-0.14056338,0.13297607,0.035028346,0.11125642,0.067385346,0.08138384,0.0707427,0.012980469,0.035660174,0.06356384,0.09190588,0.08116283,-0.22552443,0.097383246,0.10078062,-0.048565987,-0.0054449257,0.25044984,0.29731035,0.08639487,0.05831563,0.019416017,0.036891755,0.009298207,0.215038,0.046307184,0.10101403,-0.117770605,-0.11486547,-0.00551597,0.020197606,0.023357904,0.031272985,-0.094249085,-0.012102957,0.033658456,0.0074456776,-0.0152966175,0.06327073,0.055676304,-0.0030265958,-0.04055334,-0.07075056,0.033318534,0.14161684,-0.11607633,-0.08835677,0.101019695,0.067697145
5,-0.11947881,-0.0720468,-0.10904018,-0.0957042,-0.008857347,-0.041129123,-0.08282485,0.054416414,-0.005945842,0.107478134,-0.07326065,0.100520074,0.05527888,0.108880624,-0.0005841802,0.050001666,-0.12020749,-0.04049777,-0.1369019,-0.09757988,-0.005805038,-0.023274986,-0.047146652,0.0324406,0.06829776,-0.00828676,-0.041526683,-0.027857872,-0.039952945,0.050309867,-0.07859925,-0.009553954,-0.0559696,0.031380806,0.09019531,0.07153261,0.018591205,-0.013460648,0.03349938,-0.011800506,0.015376265,-0.15384753,0.09046,0.021147123,0.08531275,0.033487286,0.0469225,0.067278996,-0.0021782494,0.026041208,0.04707336,0.0733693,0.1062454,-0.15428193,0.08809477,0.102621585,-0.111842625,-0.059956606,0.116905585,0.20843257,0.02287515,0.03877428,-0.0086880755,0.04038677,0.09017875,0.18895148,0.008486534,0.08397439,-0.1556631,-0.13684408,-0.055188943,-0.010827756,0.0024224438,0.011804668,-0.06140151,-0.05318866,0.012407489,-0.009994093,-0.09624311,-0.00086052355,0.0060554496,-0.028024478,-0.03954958,-0.06650309,0.030791063,0.11664165,-0.059297577,-0.03471037,0.08604251,0.065671615
6,-0.17131297,-0.097352155,-0.12925406,-0.11490004,0.015326609,-0.04724131,-0.12669782,-0.0018831366,0.01430671,0.07899727,-0.15127856,0.02966019,0.03233309,0.108336225,0.029056882,0.082332,-0.18934274,-0.07982641,-0.17180152,-0.12490142,-0.014273121,-0.047128547,-0.0426273,0.03967627,0.0962174,0.025047183,-0.022939757,-0.036636923,-0.06537683,0.0053731455,-0.10095191,-0.007867959,-0.087782726,-0.0057405713,0.0846392,0.09484772,0.0044851825,-0.039518986,0.03798803,-0.026104659,0.0026119142,-0.14634217,0.03495079,0.0047175237,0.04182835,-0.007428333,0.0074232584,0.059310347,-0.020834422,0.017296052,0.022862572,0.052952748,0.11777061,-0.07059794,0.069711275,0.09592033,-0.16603963,-0.106299624,-0.03639434,0.09435503,-0.043463927,0.012642956,-0.036473587,0.044761226,0.16061606,0.14058176,-0.038572412,0.049865972,-0.1765733,-0.148085,-0.09805261,-0.04619556,-0.018780774,-0.009400339,-0.019010203,-0.08657134,-0.010179037,-0.02551138,-0.17599264,-0.073167585,-0.055490114,-0.050249495,-0.028595049,-0.053603437,0.024449157,0.07912523,0.0035383967,0.025630098,0.066149525,0.061470345
7,-0.20845442,-0.11178079,-0.13897833,-0.12292221,0.03898688,-0.051146917,-0.16108564,-0.05990935,0.037896104,0.038228136,-0.21682146,-0.03151128,0.006113623,0.10168229,0.061620373,0.111516155,-0.24570914,-0.11932079,-0.19717951,-0.1403824,-0.02697796,-0.067074776,-0.035656568,0.04142662,0.11769604,0.055167776,-0.0040385243,-0.040409226,-0.086038,-0.043448202,-0.1127973,-0.010279104,-0.11357906,-0.044306874,0.065806575,0.10148907,-0.0069269016,-0.06019621,0.04483762,-0.03281397,-0.010971641,-0.117794596,-0.028665232,-0.015290181,-0.015638813,-0.051260404,-0.033524454,0.04707614,-0.04260278,0.009493466,-0.004889914,0.032942098,0.11691003,0.018267836,0.044766814,0.08127167,-0.20791268,-0.14147009,-0.19397046,-0.031578008,-0.10648353,-0.015354046,-0.0636847,0.046897262,0.21702422,0.07861969,-0.08937941,0.0029017718,-0.17932011,-0.14940855,-0.1293067,-0.08128907,-0.03894028,-0.0306087,0.02691999,-0.110641226,-0.032976914,-0.038016897,-0.24769945,-0.14746766,-0.12390512,-0.06811305,-0.008783128,-0.032635715,0.015412278,0.03429646,0.06580819,0.08626881,0.04299411,0.05628698
8,-0.22917017,-0.11520671,-0.13875708,-0.11877577,0.05824344,-0.051910367,-0.1827218,-0.11367319,0.061635807,-0.009030986,-0.26438946,-0.07790259,-0.021930467,0.08923678,0.09360791,0.13511589,-0.28439862,-0.15744467,-0.21179809,-0.14393088,-0.04206841,-0.08142008,-0.027719574,0.038108386,0.13108218,0.080239475,0.013539727,-0.03775397,-0.10152478,-0.0926503,-0.11424514,-0.016867835,-0.13166994,-0.08094048,0.035694856,0.09256361,-0.015090407,-0.07361962,0.05290946,-0.03102059,-0.024131931,-0.071336605,-0.094342425,-0.03908258,-0.080882296,-0.0933007,-0.072157845,0.03119159,-0.06629557,0.002494782,-0.031782646,0.015344205,0.10654025,0.10551018,0.016358655,0.060103882,-0.23601256,-0.16418774,-0.33990824,-0.15479408,-0.16022573,-0.039431714,-0.08946661,0.04505811,0.25732175,0.012965661,-0.13763855,-0.050616056,-0.16507894,-0.14258341,-0.14601873,-0.111196555,-0.05690682,-0.0496817,0.069983125,-0.124984495,-0.054811183,-0.046772443,-0.30524188,-0.21700424,-0.1926683,-0.08026482,0.017221594,-0.0051362184,0.005135556,-0.011537693,0.12114251,0.14095698,0.018520016,0.051338535
9,-0.23346741,-0.10873203,-0.13008688,-0.10282598,0.070015945,-0.04869836,-0.18952908,-0.15731391,0.082339086,-0.05536891,-0.29038614,-0.106958374,-0.050140146,0.07215615,0.12130923,0.15126936,-0.30235672,-0.1922907,-0.21523313,-0.13672802,-0.05699995,-0.08921634,-0.020102045,0.030850546,0.13525221,0.0990522,0.028468493,-0.028297486,-0.11189479,-0.13823378,-0.106720276,-0.026553623,-0.1412214,-0.11227485,-0.0018833904,0.07188721,-0.020291908,-0.0787784,0.060462818,-0.021371668,-0.03597192,-0.012951023,-0.15556023,-0.06572463,-0.14581284,-0.12860891,-0.104908794,0.012785256,-0.08981735,-0.003731862,-0.053622816,0.0018335559,0.09068441,0.18534479,-0.012142402,0.03466991,-0.2502867,-0.17459868,-0.4595634,-0.26115882,-0.1996443,-0.05363644,-0.11253692,0.038947687,0.28093326,-0.046484593,-0.17714012,-0.10316551,-0.1368477,-0.12961654,-0.1474392,-0.13150845,-0.071736395,-0.064302586,0.10436547,-0.13017794,-0.07441316,-0.051470373,-0.34336782,-0.27494544,-0.2544225,-0.08569511,0.045602165,0.026647529,-0.004775278,-0.051867418,0.16420871,0.18432662,-0.005204416,0.04772225
